Question,Answer
Why should a magnesium ribbon be cleaned before burning in air ?,"Magnesium gets covered with a layer of magnesium oxide when kept in air for a long time. This layer hinders the burning of magnesium. Hence, it is to be cleaned before burning."
"Write the balanced equation for the following chemical reactions.
(i) Hydrogen + Chlorine ? Hydrogen chloride
(ii) Barium chloride + Aluminium sulphate ? Barium sulphate + Aluminium chloride
(iii) Sodium + Water ? Sodium hydroxide + Hydrogen","(i) H2 + Cl2 ? 2HCl
(ii) 3 BaCl2 + Al2(SO4)3 ? BaSO4 + 2 AlCl3
(iii) 2Na + 2H2O ? 2NaOH + H2?"
"Write a balanced chemical equation with state symbols for the following reactions :
(i) Solutions of barium chloride and sodium sulphate in water react to give insoluble barium sulphate and the solution of sodium chloride.
(ii) Sodium hydroxide solution (in water) reacts with hydrochloric acid solution (in water) to produce sodium chloride solution and water.","(i) BaCl2 (aq) + Na2SO4 (aq) ? BaSO4(s) + 2NaCl (aq)
(ii) NaOH (aq) + HCl(aq) ? NaCl(aq) + H2O(l)"
"A solution of a substance ‘X’ is used for white washing.
(i) Name the substance ‘X’ and write its formula.
(ii) Write the reaction of the substance ‘X’ named in (i) above with water.",(i) The substance whose solution in water is used for white washing is calcium oxide (or quick lime). Its formula is CaO (ii)Ca0(s) + H20(l) = Ca(OH)2 (aq)
"Why is the amount of gas collected in one of the test tubes in text book Activity 1.7 (i.e., electrolysis of water) double of the amount collected in the other? Name this gas. [CBSE 2015 (Delhi)]",Ratio of Hydrogen to Oxygen is 2:1 in water.
An iron nail is dipped in the solution of copper sulphate for about 30 minutes. State the change in colour observed. Give reason for the change.,"When an iron nail is dipped in copper sulphate solution, the displacement reaction takes place. The colour of copper sulphate solution fades due to the formation of light green solution of iron sulphate.
 Fe(s) + CuSO4(aq) = FeSO4(aq) + Cu(s)                                                                                                                                            "
Give an example of a double displacement reaction,"Sodium hydroxide and hydrochloric acid react to form sodium chloride and water.
NaOH(aq) + HCl(aq) = NaCl(aq) + H20(l)"
"Identify the substances that are oxidised and the substances which are reduced in the following reactions.
(i) 4Na(s) + O2(g) ? 2Na2O(s)
(ii) CuO (s) + H2(g) ? Cu (s) + H2O(l)","(i) Substances oxidised is Na as it gains oxygen and oxygen is reduced.
(ii) Substances reduced is Cu as hydrogen is oxidised as it gains oxygen."
"Which of the statements about the reaction below are incorrect ?
2 PbO(s) + C(s) ? 2Pb (s) + CO2(g)
(a) Lead is getting reduced.
(b) Carbon dioxide is getting oxidised.
(c) Carbon is getting oxidised.
(d) Lead oxide is getting reduced.

(i) (a) and (b)
(ii) (a) and (c)
(iii) (a), (b) and (c)
(iv) All",(i) (a) and (b)
"Fe2O3 + 2Al ? Al2O3 + 2Fe
The above reaction is an example of a
(a) combination reaction
(b) double displacement reaction
(c) decomposition reaction
(d) displacement reaction",(d) Displacement reaction.
"What happens when dilute hydrochloric acid is added to iron filings ? Tick the correct answer :
(a) Hydrogen gas and iron chloride are produced.
(b) Chlorine gas and iron hydroxide are produced.
(c) No reaction takes place.
(d) Iron salt and water are produced.","
(a) Hydrogen gas and iron chloride are produced."
"What is a balanced chemical equation ? Why should chemical equations be balanced ?
","A balanced chemical equation has an equal number of atoms of different elements in the reactants and products.
The chemical equations should be balanced to satisfy the law of conservation of mass"
"Translate the following statements into chemical equations and then balance them.
(a) Hydrogen gas combines with nitrogen to form ammonia.
(b) Hydrogen sulphide gas burns in air to give water and sulphur dioxide.
(c) Barium chloride reacts with aluminium sulphate to give aluminium chloride and a precipitate of barium sulphate.
(d) Potassium metal reacts with water to give potassium hydroxide and hydrogen gas.
","(a) 3H2 (g) + N2 (g) ? 2NH3 (g)
(b) H2S (g) + 3O2 (g) ? SO2 (g) + 2H2O(l)
(c) 3BaCl2 (aq) + Al2(SO4)3 (aq) ? 2AlCl3 (aq) + 3BaSO4 ?(s)
(d) 2K (s) + 2H2O (l) ? 2KOH (aq) + H2 (g)

"
"Balance the following chemical equations :
(a) HNO3 + Ca (OH)2 ? Ca (NO3)2 + H2O
(b) NaOH + H2SO4 ? Na2SO4 + H2O
(c) NaCl + AgNO3 ? AgCl + NaNO3
(d) BaCl2 + H2SO4 ? BaSO4 + HCl","(a) 2HNO3 + Ca(OH)2 ? Ca(NO3)2 + 2H2O
(b) 2NaOH + H2SO4 ? Na2SO4 + 2H2O
(c) NaCl + AgNO3 ? AgCl + NaNO3
(d) BaCl2 + H2SO4 ? BaSO4 + 2HCl"
"Write the balanced chemical equations for the following reactions :
(a) Calcium hydroxide + Carbon dioxide ? Calcium carbonate + Water
(b) Zinc + Silver nitrate ? Zinc nitrate + Silver
(c) Aluminium + Copper chloride ? Aluminium chloride + Copper
(d) Barium chloride + Potassium sulphate ? Barium sulphate + Potassium chloride","(a) Ca (OH)2 + CO2 ? CaCO3 + H2O
(b) Zn + 2AgNO3 ? Zn(NO3)2 + 2 Ag
(c) 2Al + 3 CuCl2 ? 2AlCl3 + 3 Cu
(d) BaCl2 + K2SO4 ? BaSO4 + 2KCl"
"Write the balanced chemical equation for the following and identify the type of reaction in each case :
(a) Potassium bromide (aq) + Barium iodide (aq) ? Potassium iodide (aq) + Barium
(b) Zinc carbonate(s) ? Zinc oxide (s) + Carbon dioxide (g) bromide(s)
(c) Hydrogen (g) + Chloride (g) ? Hydrogen chloride (g)
(d) Magnesium (s) + Hydrochloric acid (aq) ? Magnesium chloride (aq) + Hydrogen (g)","(a) 2KBr (aq) + Bal2(aq) ? 2Kl(aq) + BaBr2(s)
Type : Double displacement reaction

(b) ZnCO3 (s) ? ZnO (s) + CO2 (g)
Type : Decomposition reaction

(c) H2 (g) + Cl2 (g) ? 2HCl(g)
Type : Combination reaction

(d) Mg (s) + 2HCl (aq) ? MgCl2 (aq) + H2 (g)
Type : Displacement reaction"
"n the equations given below, state giving reasons, whether substances have been oxidised or reduced.
(i) PbO + CO –> Pb + CO2
(ii) H2S + Cl2–>2HCl + S.","(i) Carbon monoxide is oxidised as it gains oxygen.
(ii) Chlorine is reduced as it gains hydrogen."
"A sample of water weed was placed in water and exposed to sunlight. Bubbles of a gas are seen on the surface of the leaves.
(i) Name the gas evolved.
(ii) Name the process taking place.
(iii) Write a balanced equation of reaction taking place.","(i) Oxygen
(ii) Photosynthesis
(iii) 6CO2 + 6H2O —> C6H12O6 + 6O2."
"Write the uses of decomposition reactions.
","The decomposition reactions carried out by electricity are used to extract several metals from their naturally occurring compounds like chlorides and oxides.
When passing electricity decomposes the fused metal chloride or metal oxide, then metal is produced at the cathode."
"What are the characteristics of chemical reactions?
","1. Evolution of a gas
2. Formation of a precipitate
3. Change in colour
4. Change in temperature
5. Change in state."
"Can rancidity retarded by storing foods away from light?
","In the absence of light, the oxidation of fats and oils present in food is slowed down and hence the development of rancidity is retarded."
"What are the different ways can make more informative about the chemical equation?
","1. By indicating the “physical states” of the reactants and products.
2. By indicating the “heat changes” taking place in the reaction.
3. By indicating the “conditions” under which the reaction takes place."
"What does one mean by exothermic and endothermic reactions ? Give examples.
","Exothermic reactions : Those reactions in which heat is evolved are known as exothermic reactions. An exothermic reaction is indicated by writing “+ Heat”on the products side of an equation.
Example :
(i) C (s) + O2 (g) ? CO2 (g) + Heat
(ii) N2 (g) + 3H2 (g) ? 2NH3 (g) + Heat

Endothermic reactions : Those reactions in which heat is absorbed are known as endothermic reactions. An endothermic reaction is usually indicated by writing “Heat” on the product side of a chemical equation.
Examples :
(i) C (s) + 2S (s) ? CS2 (l) – Heat
(ii) N2 (g) + O2 (g) ? 2NO(g) – Heat"
"Why is respiration considered an exothermic reaction ? Explain.
",Respiration is an exothermic process because during respiration glucose combines with oxygen in the cells of our body to form carbon dioxide and water along with the production of energy.                                                         C6H12O6(aq) +  6O2(g) = 6C02(g) + 6H20(l) + Energy                                               
Why are decomposition reactions called the opposite of combination reactions? Write equations for these reactions.,"In a decomposition reaction, a single compound breaks down to produce two or more simpler substances.
For example:
2H2O(l) =(electricity) = 2H2(g) + 02(g)
While, in a combination reaction, two or more substances simply combine to form a new substance.
For example:
 2H2(g) + 02(g) = 2H2O(l)"
"Write one equation each for the decomposition reactions where energy is supplied in the form of heat, light or electricity.",CaCO3 (s) =(Heat)= CaO(s) + CO2(g)                                              2AgBr(s)  =(Light)= 2Ag(s) + Br2(g)                                                        2H2O(l) =(electricity) = 2H2(g) + 02(g)                       
What is the difference between displacement and double displacement reactions? Write equations for these reactions.,"In displacement reactions, a more reactive metal displaces a less reactive metal from its solution. For example,
Fe(s) + CuSO4(aq) ? Cu(s) + FeSO4(aq)
This is a displacement reaction where iron displaces copper from its solution.
In double displacement reactions, two reactants in solution exchange their ions. For example,
AgNO3(aq) + NaCl (aq) ? AgCl(s) + NaNO3 (aq)
This is a double displacement reaction where silver nitrate and sodium chloride exchange Cl– and NO3– ions between them."
"In the refining of silver, the recovery of silver from silver nitrate solution involved displacement by copper metal. Write down the reaction involved.",2AgNO3(aq) + Cu(s)  =  Cu(NO3)2  +  2Ag(s)
"What do you mean by a precipitation reaction ? Explain by giving examples.
","A reaction in which an insoluble solid called precipitate is formed that separates from the solution is called a precipitation reaction.
Example : When a solution of iron (III) chloride and ammonium hydroxide are mixed, a brown precipitate of iron (III) hydroxide is formed.                                                                 FeCl3(aq) + 3NH4OH(aq) = Fe(OH)3(s) + 3NH4Cl(aq)"
"Explain the following in terms of gain or loss of oxygen with two examples each:
(a) Oxidation and
(b) Reduction.","(a) Oxidation : The addition of oxygen to a substance is called oxidation.
Example :
(i) S(s) + O2(g) ? SO2(g) (Addition of oxygen to sulphur)
(ii) 2Mg(s) + O2 (g) ? 2MgO(s) (Addition of oxygen to magnesium)

(b) Reduction : The removal of oxygen from a substance is called reduction.
Example: (i) CuO + H2 \underrightarrow { Heat } Cu + H2O
Here, copper oxide is being reduced to copper because oxygen gets removed from copper oxide.

(ii) ZnO + C ? Zn + CO
Here, zinc oxide is being reduced to zinc because oxygen gets removed from zinc oxide."
A shiny brown coloured element ‘X’ on heating in air becomes black in colour. Name the element ‘X’ and the black coloured compound formed.,"Element ‘X’ is copper (Cu).
The black coloured compound is copper oxide (CuO). The reaction involved is                                                                                   2Cu + O2 = 2CuO"
"Why do we apply paint on iron articles ?
","Paint does not allow iron articles to come in contact with air, water and saves iron articles from damage due to rusting.

"
